Date : 2024-06-07 21:43:20
Directory : /Users/dreamsky/Projects/dreamsky/graduation_project/admin_client/src
Total : 135 files,  6872 codes, 175 comments, 878 blanks, all 7925 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| vue        |         84 |      4,116 |        132 |        623 |      4,871 |
| TypeScript |         42 |      2,002 |         39 |        195 |      2,236 |
| JSON       |          2 |        379 |          0 |          0 |        379 |
| SCSS       |          5 |        205 |          4 |         54 |        263 |
| JavaScript |          1 |        103 |          0 |          5 |        108 |
| XML        |          1 |         67 |          0 |          1 |         68 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |        135 |      6,872 |        175 |        878 |      7,925 |
| . (Files)                                                                                                                             |          3 |         38 |          1 |         11 |         50 |
| api_mocks                                                                                                                             |          7 |        807 |          0 |         34 |        841 |
| apis                                                                                                                                  |          7 |        227 |          0 |         35 |        262 |
| components                                                                                                                            |         42 |      2,110 |         34 |        283 |      2,427 |
| components (Files)                                                                                                                    |          4 |        177 |          0 |         22 |        199 |
| components/app-layout-navigation                                                                                                      |          1 |         84 |          0 |         13 |         97 |
| components/icons                                                                                                                      |         16 |        469 |          2 |         47 |        518 |
| components/navbar                                                                                                                     |          5 |        419 |          3 |         59 |        481 |
| components/navbar (Files)                                                                                                             |          1 |         63 |          3 |         13 |         79 |
| components/navbar/components                                                                                                          |          4 |        356 |          0 |         46 |        402 |
| components/navbar/components (Files)                                                                                                  |          2 |         62 |          0 |         15 |         77 |
| components/navbar/components/dropdowns                                                                                                |          2 |        294 |          0 |         31 |        325 |
| components/sidebar                                                                                                                    |          2 |        154 |         21 |         18 |        193 |
| components/typography                                                                                                                 |          2 |        218 |          0 |          8 |        226 |
| components/va-charts                                                                                                                  |         10 |        424 |          7 |         81 |        512 |
| components/va-charts (Files)                                                                                                          |          3 |        229 |          7 |         38 |        274 |
| components/va-charts/chart-types                                                                                                      |          7 |        195 |          0 |         43 |        238 |
| components/va-medium-editor                                                                                                           |          2 |        165 |          1 |         35 |        201 |
| i18n                                                                                                                                  |          3 |        400 |          0 |          5 |        405 |
| i18n (Files)                                                                                                                          |          1 |         21 |          0 |          5 |         26 |
| i18n/locales                                                                                                                          |          2 |        379 |          0 |          0 |        379 |
| layouts                                                                                                                               |          3 |        124 |          0 |         22 |        146 |
| pages                                                                                                                                 |         52 |      2,322 |        127 |        395 |      2,844 |
| pages (Files)                                                                                                                         |          1 |         25 |          0 |          6 |         31 |
| pages/adminUsers                                                                                                                      |          4 |        181 |         47 |         45 |        273 |
| pages/adminUsers (Files)                                                                                                              |          1 |         41 |         14 |         12 |         67 |
| pages/adminUsers/composables                                                                                                          |          1 |         36 |          0 |          9 |         45 |
| pages/adminUsers/widgets                                                                                                              |          2 |        104 |         33 |         24 |        161 |
| pages/auth                                                                                                                            |          1 |         45 |          0 |          8 |         53 |
| pages/billing                                                                                                                         |          6 |        320 |          0 |         50 |        370 |
| pages/billing (Files)                                                                                                                 |          5 |        277 |          0 |         44 |        321 |
| pages/billing/modals                                                                                                                  |          1 |         43 |          0 |          6 |         49 |
| pages/cubicle                                                                                                                         |          7 |        217 |          0 |         41 |        258 |
| pages/cubicle (Files)                                                                                                                 |          2 |         46 |          0 |         10 |         56 |
| pages/cubicle/payment-system                                                                                                          |          2 |         26 |          0 |          6 |         32 |
| pages/cubicle/widgets                                                                                                                 |          3 |        145 |          0 |         25 |        170 |
| pages/dashboard                                                                                                                       |          8 |        486 |          0 |         44 |        530 |
| pages/dashboard (Files)                                                                                                               |          3 |        134 |          0 |         11 |        145 |
| pages/dashboard/cards                                                                                                                 |          5 |        352 |          0 |         33 |        385 |
| pages/devices                                                                                                                         |          3 |        112 |          0 |         21 |        133 |
| pages/devices (Files)                                                                                                                 |          2 |         69 |          0 |         15 |         84 |
| pages/devices/modals                                                                                                                  |          1 |         43 |          0 |          6 |         49 |
| pages/openApi                                                                                                                         |          4 |        136 |          0 |         29 |        165 |
| pages/openApi (Files)                                                                                                                 |          3 |         93 |          0 |         23 |        116 |
| pages/openApi/modals                                                                                                                  |          1 |         43 |          0 |          6 |         49 |
| pages/preferences                                                                                                                     |          6 |        206 |          0 |         29 |        235 |
| pages/preferences (Files)                                                                                                             |          2 |         23 |          0 |          4 |         27 |
| pages/preferences/modals                                                                                                              |          2 |        137 |          0 |         19 |        156 |
| pages/preferences/preferences-header                                                                                                  |          1 |          9 |          0 |          2 |         11 |
| pages/preferences/settings                                                                                                            |          1 |         37 |          0 |          4 |         41 |
| pages/settings                                                                                                                        |          3 |         71 |          0 |         17 |         88 |
| pages/settings (Files)                                                                                                                |          1 |         17 |          0 |          1 |         18 |
| pages/settings/language-switcher                                                                                                      |          1 |         32 |          0 |          9 |         41 |
| pages/settings/theme-switcher                                                                                                         |          1 |         22 |          0 |          7 |         29 |
| pages/staffUsers                                                                                                                      |          4 |        231 |         47 |         51 |        329 |
| pages/staffUsers (Files)                                                                                                              |          1 |         49 |         14 |         13 |         76 |
| pages/staffUsers/composables                                                                                                          |          1 |         54 |          0 |         11 |         65 |
| pages/staffUsers/widgets                                                                                                              |          2 |        128 |         33 |         27 |        188 |
| pages/toilets                                                                                                                         |          5 |        292 |         33 |         54 |        379 |
| pages/toilets (Files)                                                                                                                 |          1 |         85 |          0 |         19 |        104 |
| pages/toilets/composables                                                                                                             |          1 |         39 |          0 |          9 |         48 |
| pages/toilets/widgets                                                                                                                 |          3 |        168 |         33 |         26 |        227 |
| router                                                                                                                                |          1 |        113 |          6 |         10 |        129 |
| scss                                                                                                                                  |          5 |        265 |          3 |         53 |        321 |
| scss (Files)                                                                                                                          |          1 |         47 |          1 |         13 |         61 |
| scss/icon-fonts                                                                                                                       |          3 |        145 |          2 |         23 |        170 |
| scss/icon-fonts (Files)                                                                                                               |          1 |          1 |          2 |          1 |          4 |
| scss/icon-fonts/vuestic-icons                                                                                                         |          2 |        144 |          0 |         22 |        166 |
| scss/vuestic-sass                                                                                                                     |          1 |         73 |          0 |         17 |         90 |
| services                                                                                                                              |          6 |        249 |          1 |         12 |        262 |
| services (Files)                                                                                                                      |          2 |         29 |          1 |          6 |         36 |
| services/vuestic-ui                                                                                                                   |          4 |        220 |          0 |          6 |        226 |
| services/vuestic-ui (Files)                                                                                                           |          2 |         72 |          0 |          3 |         75 |
| services/vuestic-ui/icons-config                                                                                                      |          2 |        148 |          0 |          3 |        151 |
| stores                                                                                                                                |          6 |        217 |          3 |         18 |        238 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                              | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
